message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this unique product. I believe it has great value and I'm looking for a serious buyer. I'm starting with a competitive price.",3000000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer. However, $3000000 is way too high. My budget is much lower. I'm interested in the product, but I'm only willing to pay $1000000.",1000000.0,Bob,2,,
"Hi Bob, thank you for your interest in the product. I understand that $3000000 might be out of your budget, but $1000000 is too low for me. I'm willing to negotiate and find a mutually beneficial price. I can offer you a better deal at $2500000.",,Alice,2,RejectOffer,2500000.0
"Hi Bob, as I mentioned earlier, I'm willing to negotiate and find a mutually beneficial price. I believe $2500000 is a fair price for the product, considering its value and uniqueness. I'm open to further discussions, but I hope we can meet closer to this price.",2500000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, $2500000 is still too high. I understand you value the product, but I'm a serious buyer with a firm budget. The highest I can go right now is $1200000.",1200000.0,Bob,4,,
"Hi Bob, I appreciate your willingness to increase your offer. However, $1200000 is still below my expected price. I'm trying to be flexible, so I'll meet you halfway between my previous offer and your new offer. I can sell the product to you for $2200000, which is a significant compromise on my part.",,Alice,4,RejectOffer,2200000.0
"Hi Bob, as I mentioned earlier, I'm trying to be flexible and find a mutually beneficial price. I believe $2200000 is a fair compromise, considering the product's value and our previous discussions. I'm hoping we can close the deal at this price, but I'm open to further negotiations if needed.",2200000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
