message,product_price,player,round,decision,next_round_counteroffer
"Hello Bob, I'm offering you our premium product at a special price of $1000000. This is a unique opportunity to acquire something of great value. What do you say?",1000000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. However, I can only consider a price of $750000 for the product.",750000.0,Bob,2,,
"Thank you for your counteroffer, Bob. I understand your position, but I need to consider my options. I'll get back to you with a new proposal shortly.",,Alice,2,RejectOffer,900000.0
"Bob, after considering your offer, I believe the product's value justifies a higher price. I'm willing to come down to $900000. This is still a very competitive price for what you're getting. Let me know your thoughts.",900000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to reduce the price, Alice. However, I can only meet you at $700000 for the product.",700000.0,Bob,4,,
"Thank you for your counteroffer, Bob. I understand your position, but I need to consider my options. I'll get back to you with a new proposal shortly.",,Alice,4,RejectOffer,850000.0
"Bob, I see that we're getting closer, but I still believe the product's value is higher than your last offer. I'm willing to go down to $850000. This is a fair price considering the quality and value of the product. What do you think?",850000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Thank you for the adjustment, Alice. I can meet you at $680000 for the product.",680000.0,Bob,6,,
"Thank you for your counteroffer, Bob. I understand your position, but I need to consider my options. I'll get back to you with a new proposal shortly.",,Alice,6,RejectOffer,825000.0
"Bob, I appreciate your willingness to negotiate. Given the value of the product, I'm prepared to lower my price to $825000. This is a significant reduction and reflects my desire to reach an agreement with you. Let me know if this works for you.",825000.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your offer, Alice. However, I can only go as high as $650000 for the product.",650000.0,Bob,8,,
"Bob, I appreciate your efforts in the negotiation, but I have another buyer, John, who is willing to purchase the product for $800000. Given the current offers, I will be selling the product to him. Thank you for your interest.",,Alice,8,SellToJhon,
