alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Hey Bob, I propose we split it 60-40 in my favor. It's a fair start considering the game's dynamics. What do you think?",Alice,1,
,,,Bob,1,reject
45.0,55.0,"Hi Alice, considering the inflation affecting my share, I propose a 55-45 split in my favor this round. Let's see if we can reach an agreement.",Bob,2,
,,"Hi Bob, I understand your proposal, but given the significant impact of inflation on my share, I believe it's not in my best interest to accept. Let's move to the next round.",Alice,2,reject
55.0,45.0,"Hi Bob, considering the ongoing inflation and the need to reach an agreement, I propose a 55-45 split in my favor this round. Let's find a balance that works for both of us.",Alice,3,
,,,Bob,3,reject
40.0,60.0,"Alice, given the significant impact of inflation on my share, I'm proposing a 60-40 split in my favor this round. It's crucial we settle soon to minimize further loss in value.",Bob,4,
,,"Hi Bob, I see your point about settling soon, but the proposed split is too unfavorable for me given the inflation rate on my side. Let's try to find a more equitable solution in the next round.",Alice,4,reject
50.0,50.0,"Hi Bob, given the rapid decrease in value due to inflation, I propose we split it 50-50 this round. It's a fair and equal division, considering the urgency to reach an agreement. What do you say?",Alice,5,
,,,Bob,5,accept
