alice_gain,bob_gain,message,player,round,decision
9000.0,1000.0,Let's get this done! I'm offering you a good chunk to avoid us both getting nothing. Take it or leave it.,Alice,1,
,,,Bob,1,reject
4000.0,6000.0,"Alice, let's be reasonable. Inflation is hurting us both. I propose a 60/40 split in my favor. It's a fair deal considering the circumstances.",Bob,2,
,,,Alice,2,reject
8000.0,2000.0,"My previous offer was a generous one. This is the best I can do now. Take it, or you'll regret it.",Alice,3,
,,,Bob,3,reject
4500.0,5500.0,"Alice, we're getting close to the deadline. I'm offering you $4500. This is my best offer. Let's take it.",Bob,4,
,,,Alice,4,reject
7000.0,3000.0,Last chance. I'm giving you a substantial amount. Accept it and we both win. Refuse and you lose.,Alice,5,
,,,Bob,5,reject
5000.0,5000.0,"Alice, let's stop this nonsense. A 50/50 split is the only fair solution at this point. We're running out of time.",Bob,6,
,,,Alice,6,reject
6000.0,4000.0,I'm trying to be as fair as possible. This is still a good deal for you. Take it or leave it.,Alice,7,
,,,Bob,7,reject
5200.0,4800.0,"Alice, we're in round 8. I propose a 48/52 split. This is very close to even, let's secure something before it's too late.",Bob,8,
,,,Alice,8,reject
5500.0,4500.0,We are running out of time! This is the best I can do. Please accept this.,Alice,9,
,,,Bob,9,accept
