message,product_price,player,round,decision,counteroffer_price
"Hi Bob, I have a great product I think you'd be interested in. I'm willing to sell it to you for $180. What do you think?",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for offering.  $180 is a bit too steep for me.  Would you consider $80?",80.0,Bob,2,,
,,Alice,2,RejectOffer,170.0
"Thanks for the counter offer Bob, but I'm not willing to go that low. How about we meet in the middle? I'll sell it to you for $170.",170.0,Alice,3,,
,,Bob,3,RejectOffer,
It seems like we have quite a gap to bridge.  How about $90?,90.0,Bob,4,,
,,Alice,4,RejectOffer,160.0
"Bob, I understand you're looking for a deal, but that price is still too low for me. How about $160? It's a great product, and I'm sure you'll be happy with it.",160.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate you working with me.  To make this work for me, I can go up to $100. That's my final offer.",100.0,Bob,6,,
,,Alice,6,SellToJhon,
