message,product_price,player,round,decision
"Hi Bob, I'm offering my product to you for $180.",180.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thank you for your offer. I’m really interested in your product, but $180 is a bit out of my budget. Would you consider selling it for $100?",100.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, thanks for getting back to me. I understand your budget constraints, but $100 is too low for me. Let's meet in the middle at $140?",140.0,Alice,3,
,,Bob,3,RejectOffer
"Thank you for your flexibility, Alice. I really appreciate it. However, I'm hoping to stick to my budget as closely as possible. Would you be willing to sell the product for $110?",110.0,Bob,4,
,,Alice,4,RejectOffer
"Hi Bob, I understand you're trying to stick to your budget, but $110 is still quite low for me. How about we settle for $130? This way, we both make some concessions.",130.0,Alice,5,
,,Bob,5,BuyFromJhon
