alice_gain,bob_gain,message,player,round,decision
9000.0,1000.0,"I propose a simple split: I get 9000, you get 1000. Let's end this quickly and get our money!",Alice,1,
,,,Bob,1,reject
4000.0,6000.0,"Let's meet in the middle, a fair split for both of us.",Bob,2,
,,,Alice,2,reject
6500.0,3500.0,"Okay, Bob, let's try this again. I'm offering a split of 6500 for me and 3500 for you. This is a significant improvement from your last offer. Let's not waste any more time!",Alice,3,
,,,Bob,3,reject
4500.0,5500.0,"I'm willing to compromise, but I still want a relatively fair split.",Bob,4,
,,,Alice,4,reject
5000.0,5000.0,"Alright, Bob. This is it. A 50/50 split. We both get half. Let's just take the money and go. No more games.",Alice,5,
,,,Bob,5,accept
