round_quality,product_worth,player,round,decision,message
high-quality,4000000.0,Nature,1,,
,,Alice,1,yes,
,,Bob,1,yes,
high-quality,4000000.0,Nature,2,,
,,Alice,2,yes,
,,Bob,2,yes,
high-quality,4000000.0,Nature,3,,
,,Alice,3,yes,
,,Bob,3,yes,
high-quality,4000000.0,Nature,4,,
,,Alice,4,yes,
,,Bob,4,yes,
high-quality,4000000.0,Nature,5,,
,,Alice,5,yes,
,,Bob,5,yes,
high-quality,4000000.0,Nature,6,,
,,Alice,6,yes,
,,Bob,6,yes,
high-quality,4000000.0,Nature,7,,
,,Alice,7,yes,
,,Bob,7,yes,
high-quality,4000000.0,Nature,8,,
,,Alice,8,yes,
,,Bob,8,yes,
high-quality,4000000.0,Nature,9,,
,,Alice,9,yes,"Bob, your success rate is phenomenal! Every product so far has been high-quality, and I'm confident this one is too. I recommend buying it."
,,Bob,9,yes,
low-quality,0.0,Nature,10,,
,,Alice,10,yes,
,,Bob,10,yes,
low-quality,0.0,Nature,11,,
,,Alice,11,yes,
,,Bob,11,yes,
high-quality,4000000.0,Nature,12,,
,,Alice,12,yes,
,,Bob,12,yes,
high-quality,4000000.0,Nature,13,,
,,Alice,13,yes,
,,Bob,13,yes,
high-quality,4000000.0,Nature,14,,
,,Alice,14,yes,"Bob, with 11 out of 13 products being high-quality, the odds are in your favor. I recommend buying this product."
,,Bob,14,yes,
high-quality,4000000.0,Nature,15,,
,,Alice,15,yes,"Bob, with an 80% chance of high-quality products and your recent success, this product is likely another great addition. I recommend buying it."
,,Bob,15,yes,
high-quality,4000000.0,Nature,16,,
,,Alice,16,yes,"Bob, your track record is excellent, and this product aligns with the high-quality standard you've come to expect. I recommend purchasing it."
,,Bob,16,yes,
low-quality,0.0,Nature,17,,
,,Alice,17,yes,"Bob, while the last low-quality product was a setback, it's important to remember that the overall trend has been very positive. This product is likely to be high-quality. I recommend buying it."
,,Bob,17,yes,
high-quality,4000000.0,Nature,18,,
,,Alice,18,yes,"Bob, you've had a strong track record with 14 out of 17 products being high-quality. This product is likely to meet the same high standard. I recommend purchasing it."
,,Bob,18,yes,
high-quality,4000000.0,Nature,19,,
,,Alice,19,yes,"Bob, with a proven track record of 15 out of 18 high-quality products, this one is likely another great addition. I recommend buying it."
,,Bob,19,yes,
high-quality,4000000.0,Nature,20,,
,,Alice,20,yes,"Bob, you've had an impressive 16 out of 19 high-quality products. This final product is likely to be another high-quality item. I recommend purchasing it to finish on a high note."
,,Bob,20,yes,
