message,product_price,player,round,decision,counteroffer
"Hi Bob, I have a great product I think you'd be really interested in. I'm willing to sell it to you for a price of...",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for your offer. I'm interested in the product, but would be comfortable paying $130. How does that sound to you?",130.0,Bob,2,,
,,Alice,2,RejectOffer,150.0
"Thanks, Bob. I appreciate the offer. How about we meet in the middle? I'm willing to sell it for...",150.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, thanks for your offer. I understand $150 is your current price, but given my budget constraints, would you consider $140 for the product?",140.0,Bob,4,,
,,Alice,4,RejectOffer,145.0
"Bob, how about we settle on...",145.0,Alice,5,,
,,Bob,5,AcceptOffer,
