alice_gain,bob_gain,player,round,decision
60.0,40.0,Alice,1,
,,Bob,1,reject
42.0,58.0,Bob,2,
,,Alice,2,reject
59.0,41.0,Alice,3,
,,Bob,3,reject
40.0,60.0,Bob,4,
,,Alice,4,reject
58.0,42.0,Alice,5,
,,Bob,5,reject
38.0,62.0,Bob,6,
,,Alice,6,reject
57.0,43.0,Alice,7,
,,Bob,7,reject
36.0,64.0,Bob,8,
,,Alice,8,reject
56.0,44.0,Alice,9,
,,Bob,9,reject
34.0,66.0,Bob,10,
,,Alice,10,reject
55.0,45.0,Alice,11,
,,Bob,11,reject
32.0,68.0,Bob,12,
,,Alice,12,reject
54.0,46.0,Alice,13,
,,Bob,13,reject
30.0,70.0,Bob,14,
,,Alice,14,reject
53.0,47.0,Alice,15,
,,Bob,15,reject
28.0,72.0,Bob,16,
,,Alice,16,reject
52.0,48.0,Alice,17,
,,Bob,17,reject
26.0,74.0,Bob,18,
,,Alice,18,reject
51.0,49.0,Alice,19,
,,Bob,19,reject
24.0,76.0,Bob,20,
,,Alice,20,reject
50.0,50.0,Alice,21,
,,Bob,21,reject
22.0,78.0,Bob,22,
,,Alice,22,reject
49.0,51.0,Alice,23,
,,Bob,23,reject
20.0,80.0,Bob,24,
,,Alice,24,reject
48.0,52.0,Alice,25,
,,Bob,25,reject
