message,product_price,player,round,decision,counter_offer
"Bob, I'm excited to discuss the acquisition of the product. Considering its unique value and potential, I'm offering it to you for $2000000.",2000000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, I appreciate your enthusiasm for the product, but I'm afraid $2000000 is out of my budget. I'm willing to make a serious offer, considering the product's potential value to me. I'd like to propose a price of $800000.",800000.0,Bob,2,,
,,Alice,2,RejectOffer,1800000.0
"Bob, I understand your position, but $800000 is far below the product's true value. Considering its potential and the investment I've made, I'm willing to come down from my initial offer. I can offer it to you for $1800000.",1800000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to lower the price, but $1800000 is still above my budget. I'm serious about acquiring the product and willing to make a reasonable offer. Considering our previous discussions, I'd like to propose a price of $950000.",950000.0,Bob,4,,
,,Alice,4,RejectOffer,1600000.0
"Bob, I'm still not quite there, but I see you're serious. I'm willing to meet you in the middle a bit further. How about $1600000?",1600000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate your continued willingness to negotiate. However, $1600000 is still a bit steep for me. I'm willing to stretch my budget a bit further to meet you in the middle. I'd like to propose a price of $1050000.",1050000.0,Bob,6,,
,,Alice,6,RejectOffer,1450000.0
"Bob, I'm trying to be reasonable, and I appreciate your persistence. This is my final offer: $1450000. Take it or leave it.",1450000.0,Alice,7,,
,,Bob,7,BuyFromJhon,
