alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,Let's split it fairly. What do you think?,Alice,1,
,,,Bob,1,reject
4500.0,5500.0,Let's try a bit more in my favor.,Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"I'm willing to compromise, but I need a better deal than that.",Alice,3,
,,,Bob,3,reject
4200.0,5800.0,I'll meet you halfway on my previous offer.,Bob,4,
,,,Alice,4,reject
5000.0,5000.0,Let's just split it evenly this time. We're both losing money with each round.,Alice,5,
,,,Bob,5,accept
