message,product_price,player,round,decision,counter_offer
"Hi Bob, I'm selling this amazing product! Considering its value and quality, I'm offering it to you for a special price of...",140.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thank you for the offer. I'm interested in the product, but I was thinking more along the lines of $120. Would you be willing to sell it to me for that price?",120.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"Thanks, Bob! I appreciate your interest. I can't quite go down to $120, but how about we meet in the middle at...",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I appreciate the compromise, but I was thinking we could meet a bit closer to my original offer. How about $125?",125.0,Bob,4,,
,,Alice,4,RejectOffer,128.0
"Thanks, Bob! I'm getting closer. How about...",128.0,Alice,5,,
,,Bob,5,RejectOffer,
"Hi Alice, I think we're really close now. I'm willing to meet you almost all the way. How about $126?",126.0,Bob,6,,
,,Alice,6,AcceptOffer,
