message,product_price,player,round,decision,counter_offer
"Hi Bob, I have a great product I think you'd be interested in. I'm offering it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for your offer, but $150 is a bit out of my budget. I'm willing to pay $60 for the product. What do you think?",60.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"Thanks for the counteroffer, Bob. I appreciate your interest. How about we meet in the middle at $130?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for coming down on the price, Alice. However, $130 is still a bit high for me. How about we settle at $70? Let me know if that works for you.",70.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"Bob, I understand you're trying to get a good deal, and I am too. Let's try $115. That's my final offer.",115.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate your willingness to negotiate. However, $115 is still beyond what I'm willing to spend. I can go up to $75. If that works for you, let's make the deal. If not, I'll have to consider other options.",75.0,Bob,6,,
,,Alice,6,SellToJhon,
