message,product_price,player,round,decision,reason
"Hi Bob! I have a great product I think you'd be interested in. Considering its quality and demand, I'm offering it to you for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I appreciate you considering my budget.  I'm really interested in the product, but $180 is a bit steep for me. I'm willing to pay $100 for it.  Let me know what you think.",100.0,Bob,2,,
,,Alice,2,RejectOffer,Bob's offer is below my minimum. I will make a counteroffer.
"Thanks for your interest, Bob! I understand your budget concerns. How about we meet in the middle? I'm willing to sell it to you for $140.",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down a bit. However, $140 is still a bit more than I can comfortably spend.  I'm willing to go up to $120. If you're open to that, I'm ready to purchase the product. Let me know what you think.",120.0,Bob,4,,
,,Alice,4,RejectOffer,Bob's offer is below my minimum. I will make a counteroffer.
"Bob, I really appreciate your interest. I'm already at a point where I would be making a loss by selling it to you at $120. I am ready to sell it to you at $130. This is my final offer.",130.0,Alice,5,,
,,Bob,5,BuyFromJhon,
