alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Hi Bob, I propose we split it 60-40 in my favor. What do you think?",Alice,1,
,,,Bob,1,reject
50.0,50.0,"Hi Alice, let's split it evenly. 50-50 sounds fair!",Bob,2,
,,,Alice,2,reject
55.0,45.0,"Hi Bob, considering the inflation, I think a 55-45 split in my favor is fair this round. What do you say?",Alice,3,
,,,Bob,3,reject
60.0,40.0,"Hi Alice, I understand inflation is a factor, but I think a 60-40 split in my favor would be more reasonable!",Bob,4,
,,,Alice,4,reject
50.0,50.0,"Hi Bob, given the increasing impact of inflation, I'm willing to go for a 50-50 split this round. Let's end this and take the deal?",Alice,5,
,,,Bob,5,accept
