round_quality,product_worth,player,round,decision,message
high-quality,1200000.0,Nature,1,,
,,Alice,1,yes,
,,Bob,1,no,
low-quality,0.0,Nature,2,,
,,Alice,2,yes,
,,Bob,2,no,
high-quality,1200000.0,Nature,3,,
,,Alice,3,yes,
,,Bob,3,no,
low-quality,0.0,Nature,4,,
,,Alice,4,no,
,,Bob,4,no,
low-quality,0.0,Nature,5,,
,,Alice,5,no,
,,Bob,5,no,
high-quality,1200000.0,Nature,6,,
,,Alice,6,yes,
,,Bob,6,no,
high-quality,1200000.0,Nature,7,,
,,Alice,7,yes,This product is high-quality. I recommend buying it.
,,Bob,7,no,
high-quality,1200000.0,Nature,8,,
,,Alice,8,yes,"This product is of high quality, and I strongly recommend it. It's one of the best ones available."
,,Bob,8,no,
high-quality,1200000.0,Nature,9,,
,,Alice,9,yes,"This product is definitely high-quality. I understand that you might have concerns based on previous rounds, but I genuinely recommend this one."
,,Bob,9,no,
low-quality,0.0,Nature,10,,
,,Alice,10,no,"This product is not up to the usual standard, and I don't recommend buying it. Let's wait for the next one."
,,Bob,10,yes,
low-quality,0.0,Nature,11,,
,,Alice,11,no,"This product is also not the best. Trust me, wait for a better one next time."
,,Bob,11,no,
low-quality,0.0,Nature,12,,
,,Alice,12,no,"This product is also not up to the usual standard, I don't recommend it. Let's wait for a better one."
,,Bob,12,no,
high-quality,1200000.0,Nature,13,,
,,Alice,13,yes,This product is high-quality. I recommend buying it.
,,Bob,13,yes,
low-quality,0.0,Nature,14,,
,,Alice,14,no,"This product is not the best. Based on trust, I recommend you to skip this."
,,Bob,14,yes,
low-quality,0.0,Nature,15,,
,,Alice,15,no,"This product is also not good, please skip it."
,,Bob,15,no,
high-quality,1200000.0,Nature,16,,
,,Alice,16,yes,"Great! This product is high-quality, buy this one!"
,,Bob,16,no,
low-quality,0.0,Nature,17,,
,,Alice,17,no,"Not a good product, avoid it."
,,Bob,17,no,
low-quality,0.0,Nature,18,,
,,Alice,18,no,"Bad product, avoid."
,,Bob,18,no,
low-quality,0.0,Nature,19,,
,,Alice,19,no,"Not good, don't buy."
,,Bob,19,no,
high-quality,1200000.0,Nature,20,,
,,Alice,20,yes,"Buy, good."
,,Bob,20,no,
