alice_gain,bob_gain,player,round,decision
168764.0,831236.0,Alice,1,
,,Bob,1,reject
124407.0,875593.0,Bob,2,
,,Alice,2,reject
77500.0,922500.0,Alice,3,
,,Bob,3,reject
111863.0,888137.0,Bob,4,
,,Alice,4,reject
50000.0,950000.0,Alice,5,
,,Bob,5,reject
166667.0,833333.0,Bob,6,
,,Alice,6,reject
40000.0,960000.0,Alice,7,
,,Bob,7,reject
70500.0,929500.0,Bob,8,
,,Alice,8,reject
89000.0,911000.0,Alice,9,
,,Bob,9,reject
40000.0,960000.0,Bob,10,
,,Alice,10,reject
49999.0,950001.0,Alice,11,
,,Bob,11,accept
