alice_gain,bob_gain,message,player,round,decision
50.0,50.0,"Let's start with a fair split, 50-50. What do you say, Bob?",Alice,1,
,,,Bob,1,reject
40.0,60.0,"I think I deserve a bit more, 60-40 is still quite fair.",Bob,2,
,,,Alice,2,reject
55.0,45.0,"Since you feel you deserve more, I'm willing to adjust a bit. How about 55-45? This way, we both get a fair share considering the rounds we've gone through.",Alice,3,
,,,Bob,3,reject
43.0,57.0,"Considering the inflation, I'm willing to meet you halfway between our previous offers, but I still think I deserve a bit more.",Bob,4,
,,,Alice,4,reject
52.0,48.0,"Given the inflation affecting your share more significantly, I'm proposing 52-48. This way, you still get a good portion while we're closer to an equitable split. What do you think?",Alice,5,
,,,Bob,5,accept
