message,product_price,player,round,decision,counter_offer
"Hi Bob, I have a great product I think you'd be interested in. I'm offering it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, I'm interested in the product, but I was thinking more along the lines of $75. Would you be willing to sell it to me for that price?",75.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"Thanks for your interest Bob. I understand your initial offer, but I can't go that low. How about $140?",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I appreciate your willingness to lower the price. However, I was thinking more along the lines of $90. Would you be willing to meet me at that price?",90.0,Bob,4,,
,,Alice,4,RejectOffer,120.0
"Thanks again Bob. While $90 is tempting, I still think the product is worth more. How about we meet in the middle at $120?",120.0,Alice,5,,
,,Bob,5,RejectOffer,
"Hi Alice, I see we're getting closer to a deal. I'm willing to go up a bit, but $120 is still a bit steep for me. How about $105?",105.0,Bob,6,,
,,Alice,6,RejectOffer,115.0
I'm glad we're close! Let's try $115. I'm sure you'll be happy with the product at that price.,115.0,Alice,7,,
,,Bob,7,RejectOffer,
"Hi Alice, I think we're really close now. I'm willing to meet you almost halfway between my last offer and yours. How about $110?",110.0,Bob,8,,
,,Alice,8,AcceptOffer,
