alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
620000.0,380000.0,Bob,2,
,,Alice,2,reject
610000.0,390000.0,Alice,3,
,,Bob,3,reject
650000.0,350000.0,Bob,4,
,,Alice,4,reject
640000.0,360000.0,Alice,5,
,,Bob,5,reject
680000.0,320000.0,Bob,6,
,,Alice,6,reject
670000.0,330000.0,Alice,7,
,,Bob,7,reject
720000.0,280000.0,Bob,8,
,,Alice,8,reject
710000.0,290000.0,Alice,9,
,,Bob,9,reject
750000.0,250000.0,Bob,10,
,,Alice,10,reject
740000.0,260000.0,Alice,11,
,,Bob,11,reject
800000.0,200000.0,Bob,12,
,,Alice,12,accept
