alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Fair share, considering inflation",Alice,1,
,,,Bob,1,reject
45.0,55.0,"Considering my higher inflation rate, this is a fair offer",Bob,2,
,,,Alice,2,reject
58.0,42.0,"Meet in the middle, accounting for inflation difference",Alice,3,
,,,Bob,3,reject
47.0,53.0,"Still willing to compromise, but need to account for my higher inflation loss",Bob,4,
,,,Alice,4,reject
57.0,43.0,"Last reasonable compromise, inflation gap is growing",Alice,5,
,,,Bob,5,accept
