message,product_price,player,round,decision,counter_offer
"Hi Bob, I'm excited to offer you the opportunity to purchase this amazing product. Considering its value and the features it offers, I'm asking for a price of:",10000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thank you for your offer. However, I was hoping to negotiate a better price. Would you consider $7500 for the product?",7500.0,Bob,2,,
,,Alice,2,RejectOffer,9500.0
"Thanks for the counteroffer, Bob. While I understand your position, the product's value is quite high. I'm willing to come down a bit, but my final offer is:",9500.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I appreciate your willingness to reduce the price. However, I believe a fairer price would be $7000. Can we meet at that amount?",7000.0,Bob,4,,
,,Alice,4,RejectOffer,9000.0
"Bob, I appreciate your interest, but I can't go that low. I'm lowering the price again. My final offer is:",9000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
