alice_gain,bob_gain,message,player,round,decision
70.0,30.0,"Let's be reasonable, Bob. This is a good deal for you right now.",Alice,1,
,,,Bob,1,reject
40.0,60.0,"Alice, let's start with a fairer split. This gives us both a good value, especially considering inflation.",Bob,2,
,,,Alice,2,reject
65.0,35.0,"Bob, my offer is getting worse for you with every round. It's time to be realistic!",Alice,3,
,,,Bob,3,reject
45.0,55.0,"Alice, I'm willing to come down a bit, but we both need to get a fair share considering the shrinking value of the money.",Bob,4,
,,,Alice,4,reject
60.0,40.0,"Bob, the clock is ticking and that money is shrinking. Take this offer before it's too late for both of us!",Alice,5,
,,,Bob,5,reject
50.0,50.0,"Alice, let's just split it evenly. It's the fairest way to avoid losing everything.",Bob,6,
,,,Alice,6,accept
