message,product_price,player,round,decision,counteroffer
"Hi Bob, I’m prepared to let this unique product go for $1450000. Considering its value and quality—and knowing how highly you rate it—I believe this is a fair offer. I look forward to your response.",1450000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, your offer is a good start, but I'm looking to save a bit more. I'd be willing to pay $1300000 for the product.  Let's see if we can find a middle ground.",1300000.0,Bob,2,,
"Bob, I appreciate your offer, but given the product’s uniqueness and value, I believe $1400000 is a fair price. Let me know your thoughts.",,Alice,2,RejectOffer,1400000.0
"Bob, I appreciate your interest. However, considering the product's exceptional value and our previous discussions, I can offer it at $1400000. I believe this is a fair middle ground that reflects the quality of the product. Looking forward to hearing your thoughts.",1400000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate. While your offer is closer to what I'm looking for, I'm still hoping to get it for a bit less.  Let's split the difference and go with $1350000.  This is a fair price for both of us, and I'm confident we can close the deal.",1350000.0,Bob,4,,
"Bob, I appreciate your willingness to meet halfway. However, considering the unique quality of the product, my best and final counteroffer is $1380000. Let me know if we can close the deal at this price.",,Alice,4,RejectOffer,1380000.0
"Bob, I appreciate your willingness to meet halfway. However, given the exceptional quality of the product, my final counteroffer is $1380000. Please let me know if you can close at this price.",1380000.0,Alice,5,,
,,Bob,5,AcceptOffer,
