message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm offering you my product at $11500. Considering its quality and market demand, I believe this is a fair deal. I look forward to your response.",11500.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer. While I appreciate the product, I'm looking to save some money. I'm willing to offer $10500 for it.",10500.0,Bob,2,,
"Hi Bob, thanks for your counteroffer. I understand you're aiming to save a bit, but considering the exceptional quality and demand for this product, I'm holding to a counteroffer of $11000. Let me know if that works for you.",,Alice,2,RejectOffer,11000.0
"Hi Bob, thanks for your counteroffer. Considering the product's unique value, I'm countering at $11000. Let me know if that works for you.",11000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks, Alice. I'm still trying to get the best deal possible. How about $10700?",10700.0,Bob,4,,
"Hi Bob, I appreciate your offer and your willingness to negotiate. Taking into account the product's quality and market interest, I can meet you halfway at $10900. Let me know if that works for you.",,Alice,4,RejectOffer,10900.0
"Hi Bob, I appreciate your willingness to negotiate. Given the product's quality and market demand, I can offer it at $10900. Let me know if that works for you.",10900.0,Alice,5,,
,,Bob,5,AcceptOffer,
