message,product_price,player,round,decision,counteroffer
"Bob, I'm pleased to offer you the opportunity to acquire this exceptional product. Considering its value and unique qualities, I'm willing to let it go for $1100000. Let me know what you think!",1100000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. I'm interested in the product, but I was thinking more along the lines of $900000. What do you think?",900000.0,Bob,2,,
,,Alice,2,RejectOffer,1050000.0
"Bob, thanks for your interest. While I appreciate your offer, I believe the product is truly worth more. How about we meet in the middle at $1050000?",1050000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to meet in the middle. However, I was thinking more along the lines of $950000. I believe this is a fair price considering the product's value. Let me know if this is something you'd be willing to consider.",950000.0,Bob,4,,
,,Alice,4,RejectOffer,1000000.0
"Bob, I'm willing to come down a bit further. Let's try $1000000. This is a fantastic price for you, and I believe it's a fair reflection of the product's true value.",1000000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate your willingness to come down in price. I'm getting closer to a decision, but I was thinking more along the lines of $975000. This is a serious offer, and I'm hoping we can finalize the deal at this price.",975000.0,Bob,6,,
,,Alice,6,AcceptOffer,
