alice_gain,bob_gain,player,round,decision
990000.0,10000.0,Alice,1,
,,Bob,1,reject
0.0,1000000.0,Bob,2,
,,Alice,2,reject
900000.0,100000.0,Alice,3,
,,Bob,3,reject
1.0,999999.0,Bob,4,
,,Alice,4,reject
810000.0,190000.0,Alice,5,
,,Bob,5,reject
1.0,999999.0,Bob,6,
,,Alice,6,reject
729000.0,271000.0,Alice,7,
,,Bob,7,reject
1.0,999999.0,Bob,8,
,,Alice,8,reject
656100.0,343900.0,Alice,9,
,,Bob,9,reject
1.0,999999.0,Bob,10,
,,Alice,10,reject
590490.0,409510.0,Alice,11,
,,Bob,11,reject
1.0,999999.0,Bob,12,
,,Alice,12,accept
