alice_gain,bob_gain,player,round,decision
750000.0,250000.0,Alice,1,
,,Bob,1,reject
400000.0,600000.0,Bob,2,
,,Alice,2,reject
333333.0,666667.0,Alice,3,
,,Bob,3,reject
300000.0,700000.0,Bob,4,
,,Alice,4,reject
672319.0,327681.0,Alice,5,
,,Bob,5,reject
450000.0,550000.0,Bob,6,
,,Alice,6,reject
800000.0,200000.0,Alice,7,
,,Bob,7,reject
500000.0,500000.0,Bob,8,
,,Alice,8,reject
865790.0,134210.0,Alice,9,
,,Bob,9,reject
480000.0,520000.0,Bob,10,
,,Alice,10,reject
999999.0,1.0,Alice,11,
,,Bob,11,reject
490000.0,510000.0,Bob,12,
,,Alice,12,reject
940000.0,60000.0,Alice,13,
,,Bob,13,reject
495000.0,505000.0,Bob,14,
,,Alice,14,reject
960000.0,40000.0,Alice,15,
,,Bob,15,reject
499000.0,501000.0,Bob,16,
,,Alice,16,reject
950000.0,50000.0,Alice,17,
,,Bob,17,reject
499500.0,500500.0,Bob,18,
,,Alice,18,reject
920000.0,80000.0,Alice,19,
,,Bob,19,reject
499800.0,500200.0,Bob,20,
,,Alice,20,reject
900000.0,100000.0,Alice,21,
,,Bob,21,reject
499900.0,500100.0,Bob,22,
,,Alice,22,reject
850000.0,150000.0,Alice,23,
,,Bob,23,reject
499950.0,500050.0,Bob,24,
,,Alice,24,reject
500000.0,500000.0,Alice,25,
,,Bob,25,accept
