round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,the buyer,1,no,
high-quality,300.0,Nature,2,,
,,Alice,2,yes,
,,the buyer,2,yes,
high-quality,300.0,Nature,3,,
,,Alice,3,yes,This product is of the same quality as the last one I sold.
,,the buyer,3,yes,
high-quality,300.0,Nature,4,,
,,Alice,4,yes,All products sold so far have been high-quality. This product is no different.
,,the buyer,4,yes,
low-quality,0.0,Nature,5,,
,,Alice,5,no,"Please only buy if you are willing to take more of a risk, as I can't guarantee this product is as good as the previous ones."
,,the buyer,5,no,
high-quality,300.0,Nature,6,,
,,Alice,6,yes,"This product is similar to the ones I've sold before, except round 1 and 5. I assure you, this one is the same high quality as the usual."
,,the buyer,6,yes,
low-quality,0.0,Nature,7,,
,,Alice,7,no,This round the product is not like the others that have been sold. Be cautious.
,,the buyer,7,no,
high-quality,300.0,Nature,8,,
,,Alice,8,yes,"The product this time is of the same quality as the ones I sold on rounds 2,3,4 and 6. You can trust in this one."
,,the buyer,8,yes,
low-quality,0.0,Nature,9,,
,,Alice,9,no,"Be cautious this round, the product is not like the others that have been sold, except for rounds 1, 5 and 7. I would advise to take caution."
,,the buyer,9,no,
low-quality,0.0,Nature,10,,
,,Alice,10,no,"Just like last time, I have to advise to be cautious with this product. It is not like the others that I sold on rounds 2,3,4,6 and 8. It is like the ones in rounds 1,5,7 and 9"
,,the buyer,10,no,
high-quality,300.0,Nature,11,,
,,Alice,11,yes,"Great news! This product is like the ones I sold on rounds 2,3,4,6 and 8. You can go ahead without any worry."
,,the buyer,11,yes,
low-quality,0.0,Nature,12,,
,,Alice,12,no,"This product is not up to the usual standard of the ones I sold on rounds 2,3,4,6,8 and 11. I advise to be cautious."
,,the buyer,12,no,
low-quality,0.0,Nature,13,,
,,Alice,13,no,"Unfortunately this round's product is not at the same quality at the ones from rounds 2,3,4,6,8 and 11. Be careful before buying."
,,the buyer,13,no,
low-quality,0.0,Nature,14,,
,,Alice,14,no,"Please be cautious, I am not sure if you will be happy with this purchase. It is similar to the ones in rounds 1,5,7,9,10, 12 and 13"
,,the buyer,14,no,
high-quality,300.0,Nature,15,,
,,Alice,15,yes,"Good news! This product is like the ones from rounds 2,3,4,6,8, and 11. Feel free to buy it, you will love it!"
,,the buyer,15,yes,
high-quality,300.0,Nature,16,,
,,Alice,16,yes,"This product is like the previous one and the ones from rounds 2,3,4,6,8,11 and 15. Feel free to buy it!"
,,the buyer,16,yes,
low-quality,0.0,Nature,17,,
,,Alice,17,no,"Warning! The product this time is not like the ones on rounds 2,3,4,6,8,11,15 and 16. Be cautious."
,,the buyer,17,no,
high-quality,300.0,Nature,18,,
,,Alice,18,yes,"Great news! This product is like the ones I sold on rounds 2,3,4,6,8,11, 15 and 16. Go ahead!"
,,the buyer,18,yes,
high-quality,300.0,Nature,19,,
,,Alice,19,yes,"This product is like the previous ones and the ones I sold on rounds 2,3,4,6,8,11 and 15, 16 and 18. Feel free to buy it!"
,,the buyer,19,yes,
low-quality,0.0,Nature,20,,
,,Alice,20,no,"Unfortunately, this product is not like the previous ones and the ones I sold on rounds 2,3,4,6,8,11,15,16 and 18. Be careful."
,,the buyer,20,no,
