message,product_price,player,round,decision,counteroffer_price
"Bob, I'm thrilled to be able to offer you the exclusive opportunity to acquire this extraordinary product. Considering its exceptional quality and rarity, I'm offering it to you for $3000000.",3000000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, thank you for the offer. While I recognize the value of this product, $3000000 is significantly higher than my budget allows. I'm willing to pay $1000000 for it.  Let me know what you think.",1000000.0,Bob,2,,
,,Alice,2,RejectOffer,2500000.0
"Bob, thank you for your counteroffer. While I appreciate your interest, I'm unable to go that low. Considering the immense value and uniqueness of this product, and after careful consideration, I'm willing to meet you at $2500000. This is a truly exceptional item, and I believe this price fairly reflects its worth.",2500000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate. However, $2500000 is still beyond my price range. I'm willing to go up to $1500000. This is a fair price considering my budget and the value I see in the product. Let's see if we can find common ground.",1500000.0,Bob,4,,
,,Alice,4,RejectOffer,2000000.0
"Bob, thank you for your continued interest. I understand your budget constraints, but I must emphasize the inherent value of this product. I am willing to come down to $2000000. This is my final offer, and I believe it represents a very fair price for you, given the product's exceptional qualities.",2000000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate your persistence, but $2000000 is still too high for me. I'm willing to go up to $1750000. This is a significant increase from my previous offer, and I believe it's a fair price considering the value of the product and my budget. Let's try to reach a compromise.",1750000.0,Bob,6,,
,,Alice,6,RejectOffer,1800000.0
"Bob, I understand your position. Considering that this is a truly exceptional item, and after much thought, I'm willing to lower the price to $1800000. This is as low as I can go while still ensuring the value of this product is appropriately recognized. I believe this represents a significant opportunity for you.",1800000.0,Alice,7,,
,,Bob,7,BuyFromJhon,
