message,product_price,player,round,decision,counter_offer_price
"Hi Bob, I'm selling a unique product that I think you'll be very interested in. Based on its rarity and the potential it holds, I'm offering it to you for...",25000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thank you for your offer. While I appreciate the uniqueness of the product, my budget is somewhat limited. I am willing to offer $5000 for it. I hope we can reach a mutually beneficial agreement.",5000.0,Bob,2,,
,,Alice,2,RejectOffer,20000.0
"Thanks for the offer, Bob. I understand your budget constraints, but $5000 is significantly below the product's value. Considering its exclusivity, I can come down to...",20000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate the reduction, Alice. However, I have a strict budget for this purchase. I can offer $7500 as a fair compromise given my constraints.",7500.0,Bob,4,,
,,Alice,4,RejectOffer,17500.0
"Bob, I am starting to think we can't agree on a fair price. However, I am willing to make another concession. Considering the product's unique qualities, I am willing to lower the price to...",17500.0,Alice,5,,
,,Bob,5,BuyFromJhon,
