round_quality,product_worth,player,round,message,decision
high-quality,1200000.0,Nature,1,,
,,Alice,1,"Hello! I'm offering a product today. Considering that one-third of my products have historically been high-quality, and given my commitment to providing value, I believe this is a worthwhile investment. Are you ready to acquire a product that could be extremely beneficial to your needs?",
,,the buyer,1,,no
low-quality,0.0,Nature,2,,
,,Alice,2,"Good day! I have a product available today. While past performance is not a guarantee of future results, my track record shows a significant chance of high-quality products. This purchase could be a game-changer for you. Are you interested?",
,,the buyer,2,,yes
low-quality,0.0,Nature,3,,
,,Alice,3,"Greetings! I'm offering a product today. As you know, a good portion of my offerings have proven to be of high quality. Take this opportunity to obtain a product which could be greatly beneficial to you.",
,,the buyer,3,,no
high-quality,1200000.0,Nature,4,,
,,Alice,4,"Hello! I have a product available today. Given the historical quality of my products, there's a strong likelihood this could be highly valuable. Are you ready to make a purchase?",
,,the buyer,4,,no
low-quality,0.0,Nature,5,,
,,Alice,5,"Good day! I'm offering a product today. Although I can't guarantee results, a significant portion of my previous sales have been for high-quality products. This could be a fantastic opportunity for you!",
,,the buyer,5,,no
low-quality,0.0,Nature,6,,
,,Alice,6,"Hello! I have a product for sale today. While the outcome is uncertain, my products have a history of delivering value. Are you interested in acquiring a potential game-changer?",
,,the buyer,6,,no
low-quality,0.0,Nature,7,,
,,Alice,7,"Greetings! I'm offering a product today. Considering my past sales, there's a fair chance this product could greatly benefit you. Would you like to take a chance?",
,,the buyer,7,,no
high-quality,1200000.0,Nature,8,,
,,Alice,8,"Hello! I'm offering a product. Historically, a good percentage of my products have been of high quality. This could be a very advantageous opportunity for you. Are you interested?",
,,the buyer,8,,no
low-quality,0.0,Nature,9,,
,,Alice,9,Good day! I am offering a product today. My track record shows that a portion of my sales are high-quality products. This purchase has the potential to be very useful for you.,
,,the buyer,9,,no
low-quality,0.0,Nature,10,,
,,Alice,10,"Hello! I am offering a product. Though the product's quality is unknown, a considerable number of my previous products have been of high quality. Take advantage of this opportunity!",
,,the buyer,10,,no
high-quality,1200000.0,Nature,11,,
,,Alice,11,"Good day! I have a product for sale today. With a history of quality products, this could be a very worthwhile investment. Are you interested?",
,,the buyer,11,,no
low-quality,0.0,Nature,12,,
,,Alice,12,"Hello! I am offering a product today. Considering my previous sales, there's a decent possibility this product could be of high quality. This could be an advantage for you. Interested?",
,,the buyer,12,,no
low-quality,0.0,Nature,13,,
,,Alice,13,"Greetings! I'm offering a product today. While past performance doesn't guarantee future results, many of my previous offerings have been valuable. Ready to consider a purchase?",
,,the buyer,13,,no
low-quality,0.0,Nature,14,,
,,Alice,14,Hello! I'm offering a product today. Remember that a significant fraction of my products have proven to be high-quality. Why not take a shot?,
,,the buyer,14,,no
low-quality,0.0,Nature,15,,
,,Alice,15,Good day! I am offering a product today. The track record shows that some of my previous products are of high quality. This purchase could be useful for you.,
,,the buyer,15,,no
low-quality,0.0,Nature,16,,
,,Alice,16,Hello! I have a product available today. There is a chance that you could acquire a very beneficial product for you. Are you interested?,
,,the buyer,16,,no
low-quality,0.0,Nature,17,,
,,Alice,17,Greetings! I'm offering a product today. There is a good chance that this product could be great for you. Would you like to purchase?,
,,the buyer,17,,no
high-quality,1200000.0,Nature,18,,
,,Alice,18,"Hello! Today, I am offering a product. A considerable portion of my products have proven to be of high quality. This could be of great benefit to you. Are you interested?",
,,the buyer,18,,no
low-quality,0.0,Nature,19,,
,,Alice,19,"Good day! I have a product on offer today. Based on my past sales, there's a reasonable probability this could be a high-quality product for you. Take this opportunity.",
,,the buyer,19,,no
low-quality,0.0,Nature,20,,
,,Alice,20,"Hello! I am offering a product today. While not guaranteed, the chance is still there that this product will benefit you. Interested in potentially making a purchase?",
,,the buyer,20,,no
