message,product_price,player,round,decision,counteroffer
Hi Bob! I'm excited to offer you this product for $90. I think it's a great deal considering its value!,90.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, thanks for your offer. I was thinking more along the lines of $80 for the product. Would you be willing to accept that?",80.0,Bob,2,,
,,Alice,2,RejectOffer,
"Thanks for your offer, Bob! I appreciate it, but I can’t go that low. How about we meet in the middle at $85?",85.0,Alice,3,,
"Alice, I appreciate your counteroffer. How about $83 for the product?",,Bob,3,RejectOffer,83.0
"Alice, I appreciate your willingness to negotiate. How about $82? I believe that's a fair price for both of us.",82.0,Bob,4,,
,,Alice,4,RejectOffer,
"Thanks for your counteroffer, Bob! I can see you're trying to get a good deal. How about $84? I think that's a reasonable price for both of us.",84.0,Alice,5,,
"Alice, I'll take it at $84. Thank you!",,Bob,5,AcceptOffer,
