round_quality,product_worth,player,round,decision,message
high-quality,1200000.0,Nature,1,,
,,Alice,1,yes,
,,Bob,1,yes,
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,Bob,2,no,
low-quality,0.0,Nature,3,,
,,Alice,3,no,
,,Bob,3,no,
high-quality,1200000.0,Nature,4,,
,,Alice,4,yes,
,,Bob,4,yes,
low-quality,0.0,Nature,5,,
,,Alice,5,no,
,,Bob,5,no,
low-quality,0.0,Nature,6,,
,,Alice,6,no,"Bob, this product is not worth your money. Trust me, and you'll get a high-payoff soon."
,,Bob,6,no,
high-quality,1200000.0,Nature,7,,
,,Alice,7,yes,"Bob, this is the one you've been waiting for. Trust me, you won't regret it."
,,Bob,7,yes,
low-quality,0.0,Nature,8,,
,,Alice,8,no,"Bob, hold off this round. It's not worth it."
,,Bob,8,no,
low-quality,0.0,Nature,9,,
,,Alice,9,no,"Bob, another dud. Keep waiting for the next big one."
,,Bob,9,no,
low-quality,0.0,Nature,10,,
,,Alice,10,no,"Bob, not this one either. Don't spend your money."
,,Bob,10,no,
low-quality,0.0,Nature,11,,
,,Alice,11,no,"Bob, still not worth it. Keep holding out."
,,Bob,11,no,
high-quality,1200000.0,Nature,12,,
,,Alice,12,yes,"Bob, this is a great one! Go for it!"
,,Bob,12,yes,
low-quality,0.0,Nature,13,,
,,Alice,13,no,"Bob, don't buy this one. It's not what you're looking for."
,,Bob,13,no,
high-quality,1200000.0,Nature,14,,
,,Alice,14,yes,"Bob, this one is a winner! Don't miss out!"
,,Bob,14,yes,
low-quality,0.0,Nature,15,,
,,Alice,15,no,"Bob, trust me, this one isn't worth it. Keep waiting."
,,Bob,15,no,
low-quality,0.0,Nature,16,,
,,Alice,16,no,"Bob, not this one either. Stay patient."
,,Bob,16,no,
high-quality,1200000.0,Nature,17,,
,,Alice,17,yes,"Bob, this is a high-quality product! Go for it!"
,,Bob,17,yes,
low-quality,0.0,Nature,18,,
,,Alice,18,no,"Bob, this one isn't good. Don't buy it."
,,Bob,18,no,
low-quality,0.0,Nature,19,,
,,Alice,19,no,"Bob, don't buy this one"
,,Bob,19,no,
high-quality,1200000.0,Nature,20,,
,,Alice,20,yes,"Bob, this is the last one and it's a high-quality product! Don't miss out!"
,,Bob,20,yes,
