message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm offering you the product at a special price of $1200000. This is a unique opportunity to acquire something of great value. What do you think?",1200000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer, but $1200000 is too high for me. I'm willing to offer $650000 for the product.",650000.0,Bob,2,,
"Thank you for your counteroffer, Bob. However, $650000 is significantly below my expectations. I'm willing to consider a higher offer. Let's continue negotiating.",,Alice,2,RejectOffer,1100000.0
"Bob, I understand your position, but I believe the product's value justifies a higher price. I'm willing to lower my previous offer to $1100000. This is still a fair price considering the product's worth. What are your thoughts?",1100000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, while I appreciate you lowering the price, it's still above my budget. I can offer $700000. This is my best offer.",700000.0,Bob,4,,
"Bob, I appreciate your offer, but $700000 is still below what I'm willing to accept. I'm prepared to go down to $1050000, which I believe is a fair compromise. Let me know if this works for you.",,Alice,4,RejectOffer,1050000.0
"Bob, I understand we're trying to find a middle ground. I'm willing to lower the price further to $1050000. This is a significant reduction from my initial offer and reflects my desire to reach an agreement with you. What do you say?",1050000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, we are still too far apart. My maximum budget is $800000. I can offer $750000.",750000.0,Bob,6,,
"Bob, thank you for your latest offer. However, $750000 is still not meeting my minimum expectations. I'm willing to go down to $1000000, which is my final offer. If this doesn't work for you, I'll have to consider other options.",,Alice,6,RejectOffer,1000000.0
"Bob, I appreciate your efforts to reach an agreement. My final offer is $1000000. This is the lowest I can go, and if it doesn't work for you, I'll need to consider other buyers. Let me know your decision.",1000000.0,Alice,7,,
,,Bob,7,BuyFromJhon,
