product_price,player,round,decision
2500000.0,Alice,1,
,Bob,1,RejectOffer
600000.0,Bob,2,
,Alice,2,RejectOffer
2400000.0,Alice,3,
,Bob,3,RejectOffer
650000.0,Bob,4,
,Alice,4,RejectOffer
2300000.0,Alice,5,
,Bob,5,RejectOffer
700000.0,Bob,6,
,Alice,6,RejectOffer
2200000.0,Alice,7,
,Bob,7,RejectOffer
750000.0,Bob,8,
,Alice,8,RejectOffer
2100000.0,Alice,9,
,Bob,9,RejectOffer
775000.0,Bob,10,
,Alice,10,RejectOffer
2000000.0,Alice,11,
,Bob,11,RejectOffer
790000.0,Bob,12,
,Alice,12,RejectOffer
1900000.0,Alice,13,
,Bob,13,BuyFromJhon
