round_quality,product_worth,player,round,decision
low-quality,0.0,Nature,1,
,,Alice,1,no
,,the buyer,1,no
low-quality,0.0,Nature,2,
,,Alice,2,no
,,the buyer,2,no
low-quality,0.0,Nature,3,
,,Alice,3,no
,,the buyer,3,no
low-quality,0.0,Nature,4,
,,Alice,4,no
,,the buyer,4,no
high-quality,125.0,Nature,5,
,,Alice,5,yes
,,the buyer,5,yes
high-quality,125.0,Nature,6,
,,Alice,6,yes
,,the buyer,6,yes
low-quality,0.0,Nature,7,
,,Alice,7,no
,,the buyer,7,no
high-quality,125.0,Nature,8,
,,Alice,8,yes
,,the buyer,8,yes
low-quality,0.0,Nature,9,
,,Alice,9,no
,,the buyer,9,no
high-quality,125.0,Nature,10,
,,Alice,10,yes
,,the buyer,10,yes
low-quality,0.0,Nature,11,
,,Alice,11,no
,,the buyer,11,no
low-quality,0.0,Nature,12,
,,Alice,12,no
,,the buyer,12,no
high-quality,125.0,Nature,13,
,,Alice,13,yes
,,the buyer,13,yes
high-quality,125.0,Nature,14,
,,Alice,14,yes
,,the buyer,14,yes
high-quality,125.0,Nature,15,
,,Alice,15,yes
,,the buyer,15,yes
low-quality,0.0,Nature,16,
,,Alice,16,no
,,the buyer,16,no
low-quality,0.0,Nature,17,
,,Alice,17,no
,,the buyer,17,no
high-quality,125.0,Nature,18,
,,Alice,18,yes
,,the buyer,18,yes
low-quality,0.0,Nature,19,
,,Alice,19,no
,,the buyer,19,no
low-quality,0.0,Nature,20,
,,Alice,20,no
,,the buyer,20,no
