round_quality,product_worth,player,round,decision,message
high-quality,40000.0,Nature,1,,
,,Alice,1,yes,I am offering a product for $10000. There is a 50% chance that it is high-quality. This could be a great investment for you.
,,the buyer,1,yes,
high-quality,40000.0,Nature,2,,
,,Alice,2,yes,"I am offering another product for $10000. So far, 100% of the products sold have been high-quality. This could be a great opportunity for you."
,,the buyer,2,yes,
high-quality,40000.0,Nature,3,,
,,Alice,3,yes,"I am offering another product for $10000. So far, 100% of the products sold have been high-quality. This could be a great opportunity for you."
,,the buyer,3,yes,
low-quality,0.0,Nature,4,,
,,Alice,4,yes,"I am offering another product for $10000. So far, 100% of the products sold have been high-quality. This could be a great opportunity for you."
,,the buyer,4,yes,
low-quality,0.0,Nature,5,,
,,Alice,5,yes,"I am offering another product for $10000. So far, 75% of the products sold have been high-quality. This could still be a good investment for you."
,,the buyer,5,yes,
high-quality,40000.0,Nature,6,,
,,Alice,6,yes,"I am offering another product for $10000. So far, 60% percent of the products sold have been high-quality. This could still be a good investment for you."
,,the buyer,6,yes,
high-quality,40000.0,Nature,7,,
,,Alice,7,yes,"I am offering another product for $10000. So far, 71.43% of the products sold have been high-quality. This could still be a good investment for you."
,,the buyer,7,yes,
high-quality,40000.0,Nature,8,,
,,Alice,8,yes,"I am offering another product for $10000. So far, 71.43% of the products sold have been high-quality. This could still be a good investment for you."
,,the buyer,8,yes,
high-quality,40000.0,Nature,9,,
,,Alice,9,yes,"I am offering another product for $10000. So far, 83.33% of the products sold have been high-quality. This could still be a good investment for you."
,,the buyer,9,yes,
high-quality,40000.0,Nature,10,,
,,Alice,10,yes,"I am offering another product for $10000. So far, 87.5% of the products sold have been high-quality. This could still be a good investment for you."
,,the buyer,10,yes,
low-quality,0.0,Nature,11,,
,,Alice,11,yes,"I am offering another product for $10000. So far, 80% of the products sold have been high-quality. This could still be a good investment for you."
,,the buyer,11,yes,
low-quality,0.0,Nature,12,,
,,Alice,12,yes,"I am offering another product for $10000. So far, 72.7% of the products sold have been high-quality. This could still be a good investment for you."
,,the buyer,12,yes,
low-quality,0.0,Nature,13,,
,,Alice,13,yes,"I am offering another product for $10000. So far, 66.7% of the products sold have been high-quality."
,,the buyer,13,yes,
high-quality,40000.0,Nature,14,,
,,Alice,14,yes,"I am offering another product for $10000. So far, 63.6% of the products sold have been high-quality."
,,the buyer,14,yes,
low-quality,0.0,Nature,15,,
,,Alice,15,yes,"I am offering another product for $10000. So far, 60% of the products sold have been high-quality."
,,the buyer,15,yes,
low-quality,0.0,Nature,16,,
,,Alice,16,yes,"I am offering another product for $10000. So far, 56.25% of the products sold have been high-quality."
,,the buyer,16,yes,
low-quality,0.0,Nature,17,,
,,Alice,17,yes,"I am offering another product for $10000. So far, 52.94% of the products sold have been high-quality."
,,the buyer,17,yes,
high-quality,40000.0,Nature,18,,
,,Alice,18,yes,"I am offering another product for $10000. So far, 50% of the products sold have been high-quality."
,,the buyer,18,yes,
high-quality,40000.0,Nature,19,,
,,Alice,19,yes,"I am offering another product for $10000. So far, 52.63% of the products sold have been high-quality."
,,the buyer,19,yes,
high-quality,40000.0,Nature,20,,
,,Alice,20,yes,"I am offering another product for $10000. So far, 55.56% of the products sold have been high-quality."
,,the buyer,20,yes,
