message,product_price,player,round,decision,counteroffer
Hi Bob! I'm excited to offer you this incredible product. I believe it can bring you great value. I'm offering it to you for $15000. What do you think?,15000.0,Alice,1,,
,,Bob,1,RejectOffer,"Alice, I appreciate your offer, but $15000 is too high for me. I'm willing to pay $8000 for the product."
"Alice, I appreciate your offer, but $15000 is too high for me. I'm willing to pay $8000 for the product.",8000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Thanks for your response, Bob! I understand your budget concerns. How about we meet in the middle? I'm willing to sell the product for $12000. Let me know your thoughts!",12000.0,Alice,3,,
,,Bob,3,RejectOffer,"Alice, thanks for coming down. However, $12000 is still a bit high for me. I can offer $9000 for the product."
"Alice, thanks for coming down. However, $12000 is still a bit high for me. I can offer $9000 for the product.",9000.0,Bob,4,,
,,Alice,4,RejectOffer,
"I appreciate your flexibility, Bob! Let's get a bit closer. How about I sell you the product for $10500? I believe this is a fair price for both of us. What do you think?",10500.0,Alice,5,,
,,Bob,5,RejectOffer,"Alice, we're getting closer! But I still think we can do better. I'm willing to pay $9500 for the product."
"Alice, we're getting closer! But I still think we can do better. I'm willing to pay $9500 for the product.",9500.0,Bob,6,,
,,Alice,6,RejectOffer,
"Thanks for your offer, Bob! I really appreciate your willingness to negotiate. How about we settle on a price of $10000? I think it’s a fair deal for both of us. Let me know what you think!",10000.0,Alice,7,,
,,Bob,7,BuyFromJhon,
