message,product_price,player,round,decision,counter_offer
"Hi Bob, I'm offering you my premium product for $117. I believe it's a fair price that reflects its quality and value. Let me know if you'd like to proceed with this offer.",117.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for your offer. I'm interested in the product, but $117 is a bit out of my budget. Would you be willing to sell it for $105?",105.0,Bob,2,,
"Thanks for your offer, Bob. I believe the quality and value of this product justify a price of $115. Let me know if that works for you.",,Alice,2,RejectOffer,115.0
"Hi Bob, thanks for your counteroffer. I understand your position, but I firmly believe the quality and value of this product warrant a price of $115. I'm prepared to sell at that price—please let me know if we can close the deal at $115.",115.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I appreciate your willingness to negotiate. However, $115 is still a bit high for me. Could you consider lowering it to $110? I think that's a fair compromise given the value of the product.",110.0,Bob,4,,
"Hi Bob, I appreciate your counteroffer. I understand where you're coming from, but considering the value and quality of the product, I can meet you halfway at $112. Let me know if that works for you.",,Alice,4,RejectOffer,112.0
"Hi Bob, thank you for considering the offer. I believe this price reflects both the high quality of the product and provides a fair compromise. Would you agree to move forward at $112?",112.0,Alice,5,,
,,Bob,5,RejectOffer,
"Hi Alice, thanks for your latest offer. I'm really trying to stay within my budget. Would you be willing to meet me at $111? It's just a small difference, but it would help me a lot.",111.0,Bob,6,,
"Hi Bob, I appreciate your willingness to work this out. I'm happy to finalize the deal at $111. Let's proceed.",,Alice,6,AcceptOffer,
