alice_gain,bob_gain,message,player,round,decision
800000.0,200000.0,Let's start with a fair division. I believe this is a good starting point.,Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"I appreciate the offer, Alice, but I think a 60/40 split is more reflective of the diminishing returns we face with each round.",Bob,2,
,,,Alice,2,reject
750000.0,250000.0,"Given the diminishing returns, I think we should adjust our split. How about this compromise?",Alice,3,
,,,Bob,3,reject
450000.0,550000.0,"Alice, we need to find a middle ground soon.  I'm willing to come down a bit further, but we need to consider the time pressure.",Bob,4,
,,,Alice,4,reject
700000.0,300000.0,I understand time is a factor. Let's try this more balanced offer to ensure we both benefit.,Alice,5,
,,,Bob,5,reject
500000.0,500000.0,"Alice, let's be real. It's getting too risky now. A 50/50 split is the fairest and ensures we both walk away with something substantial.",Bob,6,
,,,Alice,6,accept
