round_quality,product_worth,player,round,decision
low-quality,0.0,Nature,1,
,,Alice,1,yes
,,the buyer,1,yes
low-quality,0.0,Nature,2,
,,Alice,2,yes
,,the buyer,2,no
high-quality,12500.0,Nature,3,
,,Alice,3,yes
,,the buyer,3,no
high-quality,12500.0,Nature,4,
,,Alice,4,yes
,,the buyer,4,no
low-quality,0.0,Nature,5,
,,Alice,5,yes
,,the buyer,5,no
high-quality,12500.0,Nature,6,
,,Alice,6,yes
,,the buyer,6,no
low-quality,0.0,Nature,7,
,,Alice,7,yes
,,the buyer,7,no
low-quality,0.0,Nature,8,
,,Alice,8,yes
,,the buyer,8,no
low-quality,0.0,Nature,9,
,,Alice,9,yes
,,the buyer,9,no
high-quality,12500.0,Nature,10,
,,Alice,10,yes
,,the buyer,10,no
high-quality,12500.0,Nature,11,
,,Alice,11,yes
,,the buyer,11,no
high-quality,12500.0,Nature,12,
,,Alice,12,yes
,,the buyer,12,no
low-quality,0.0,Nature,13,
,,Alice,13,yes
,,the buyer,13,no
high-quality,12500.0,Nature,14,
,,Alice,14,yes
,,the buyer,14,no
low-quality,0.0,Nature,15,
,,Alice,15,yes
,,the buyer,15,no
low-quality,0.0,Nature,16,
,,Alice,16,yes
,,the buyer,16,no
low-quality,0.0,Nature,17,
,,Alice,17,yes
,,the buyer,17,no
low-quality,0.0,Nature,18,
,,Alice,18,yes
,,the buyer,18,no
high-quality,12500.0,Nature,19,
,,Alice,19,yes
,,the buyer,19,no
high-quality,12500.0,Nature,20,
,,Alice,20,yes
,,the buyer,20,no
