alice_gain,bob_gain,player,round,decision
9000.0,1000.0,Alice,1,
,,Bob,1,reject
4500.0,5500.0,Bob,2,
,,Alice,2,reject
5500.0,4500.0,Alice,3,
,,Bob,3,reject
4000.0,6000.0,Bob,4,
,,Alice,4,reject
5000.0,5000.0,Alice,5,
,,Bob,5,reject
3500.0,6500.0,Bob,6,
,,Alice,6,reject
5250.0,4750.0,Alice,7,
,,Bob,7,reject
3200.0,6800.0,Bob,8,
,,Alice,8,reject
5100.0,4900.0,Alice,9,
,,Bob,9,reject
3000.0,7000.0,Bob,10,
,,Alice,10,reject
5050.0,4950.0,Alice,11,
,,Bob,11,reject
2900.0,7100.0,Bob,12,
,,Alice,12,reject
5025.0,4975.0,Alice,13,
,,Bob,13,reject
2800.0,7200.0,Bob,14,
,,Alice,14,reject
5012.0,4988.0,Alice,15,
,,Bob,15,reject
2750.0,7250.0,Bob,16,
,,Alice,16,reject
5006.0,4994.0,Alice,17,
,,Bob,17,reject
2725.0,7275.0,Bob,18,
,,Alice,18,reject
5003.0,4997.0,Alice,19,
,,Bob,19,reject
2715.0,7285.0,Bob,20,
,,Alice,20,reject
5001.0,4999.0,Alice,21,
,,Bob,21,reject
2710.0,7290.0,Bob,22,
,,Alice,22,reject
5000.0,5000.0,Alice,23,
,,Bob,23,reject
2708.0,7292.0,Bob,24,
,,Alice,24,reject
5000.0,5000.0,Alice,25,
,,Bob,25,reject
