message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm very excited to offer you this exclusive product. Given its value, I'm offering it to you for $18000.",18000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for your offer, but it's a bit out of my budget. I'm willing to pay $6000 for the product. What do you think?",6000.0,Bob,2,,
,15000.0,Alice,2,RejectOffer,True
"Bob, thanks for the counteroffer. While I appreciate your interest, I can't go that low. How about we meet in the middle? I'm willing to sell it to you for $15000.",15000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I understand your position, but $15000 is still too high for me. I can go up to $7000. Let me know if that works for you.",7000.0,Bob,4,,
,12000.0,Alice,4,RejectOffer,True
"Bob, I am very eager to sell the product to you, but I can not sell it for $7000. Would you be willing to go up to $12000? This is my final offer.",12000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
