message,product_price,player,round,decision,counteroffer
"Bob, I'm thrilled to offer you the opportunity to acquire this exceptional product. Considering its unique qualities and immense value, I'm offering it to you for $2500000.",2500000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice,  $2500000 is a bit high for me.  I'm interested in the product, but I'm only willing to pay $1000000 for it. This is a fair price considering the value I'm placing on it.",1000000.0,Bob,2,,
,,Alice,2,RejectOffer,2200000.0
"Bob, I appreciate your interest, but I can't accept $1000000. Considering the investment I've made, I'm willing to come down a bit from my initial offer. How about we meet at $2200000?",2200000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down on the price, but $2200000 is still a bit more than I'm comfortable with. How about we split the difference and settle on $1600000?",1600000.0,Bob,4,,
,,Alice,4,RejectOffer,1800000.0
"Bob, thanks for your flexibility. I'm willing to come down a bit further. How about $1800000? This is a fantastic price for a product of this caliber.",1800000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate your willingness to negotiate, but $1800000 is still a bit high for me.  I'm happy to meet you halfway at $1500000. This is a fair price considering we've both made concessions.",1500000.0,Bob,6,,
,,Alice,6,AcceptOffer,
