alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,"Let's split it 60/40, a fair start!",Alice,1,
,,,Bob,1,reject
500000.0,500000.0,Let's split it 50/50. A fair compromise!,Bob,2,
,,,Alice,2,reject
650000.0,350000.0,Let's make a deal before it's too late!,Alice,3,
,,,Bob,3,reject
550000.0,450000.0,How about a 45/55 split? Let's find common ground!,Bob,4,
,,,Alice,4,reject
700000.0,300000.0,"Time is running out, let's make a deal that works for both!",Alice,5,
,,,Bob,5,reject
600000.0,400000.0,Let's settle for a 40/60 split. It's better than getting nothing!,Bob,6,
,,,Alice,6,reject
580000.0,420000.0,Let's find a middle ground before it's too late!,Alice,7,
,,,Bob,7,reject
650000.0,350000.0,I propose a 35/65 split. It's the best offer we've had so far!,Bob,8,
,,,Alice,8,accept
