round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,"Hello! I'm excited to offer you this product. I believe it has the potential to bring significant value to your life. With a 50% chance of being high-quality, I think it's a great opportunity to acquire something truly special. Would you like to purchase it for $10000?",
,,the buyer,1,,yes
high-quality,30000.0,Nature,2,,
,,Alice,2,"Welcome! I'm glad you're interested in my products. I want to be transparent with you - I've sold 1 product so far, and I'm looking forward to building a strong reputation. This product has the potential to be a game-changer, and I'm confident you'll find it valuable. With the same 50% chance of being high-quality as before, I think it's worth considering. Would you like to purchase it for $10000?",
,,the buyer,2,,yes
high-quality,30000.0,Nature,3,,
,,Alice,3,"Hello! I've had 2 sales so far, and I'm excited to say that 1 out of those 2 products was high-quality. I'm building a track record of providing valuable products, and I'm confident this one will continue that trend. With a 50% chance of being high-quality, I think the potential upside is well worth the investment. Would you like to purchase this product for $10000?",
,,the buyer,3,,yes
low-quality,0.0,Nature,4,,
,,Alice,4,"Hi there! I've sold 3 products so far, with 2 of them being high-quality. I'm proud of the value I've been able to provide to my customers. While the odds of any given product being high-quality are still 50%, my recent track record has been strong. I'm hoping to continue that streak with this product. Would you like to purchase it for $10000?",
,,the buyer,4,,yes
high-quality,30000.0,Nature,5,,
,,Alice,5,"Welcome! I've now sold 4 products, with 2 of them being high-quality. While my overall statistics are still in line with the 50% chance of a product being high-quality, I'm excited about the potential of this particular product. I'm confident that it could be a great addition to your collection. Would you like to purchase it for $10000 and potentially be one of the lucky ones?",
,,the buyer,5,,yes
high-quality,30000.0,Nature,6,,
,,Alice,6,"Hello! I've sold 5 products so far, and I'm pleased to say that 3 of them have been high-quality. My track record is starting to show a positive trend, with 60% of my sales being high-quality products. Of course, the odds of any individual product being high-quality are still 50%, but I'm feeling optimistic about this one. Would you like to purchase it for $10000 and see if you can be a part of my winning streak?",
,,the buyer,6,,no
high-quality,30000.0,Nature,7,,
