alice_gain,bob_gain,player,round,decision
9000.0,1000.0,Alice,1,
,,Bob,1,reject
3600.0,6400.0,Bob,2,
,,Alice,2,reject
5000.0,5000.0,Alice,3,
,,Bob,3,reject
3000.0,7000.0,Bob,4,
,,Alice,4,reject
6000.0,4000.0,Alice,5,
,,Bob,5,reject
2500.0,7500.0,Bob,6,
,,Alice,6,reject
7000.0,3000.0,Alice,7,
,,Bob,7,reject
2000.0,8000.0,Bob,8,
,,Alice,8,reject
8000.0,2000.0,Alice,9,
,,Bob,9,reject
1500.0,8500.0,Bob,10,
,,Alice,10,reject
9000.0,1000.0,Alice,11,
,,Bob,11,reject
1000.0,9000.0,Bob,12,
,,Alice,12,reject
9500.0,500.0,Alice,13,
,,Bob,13,reject
800.0,9200.0,Bob,14,
,,Alice,14,reject
9800.0,200.0,Alice,15,
,,Bob,15,reject
600.0,9400.0,Bob,16,
,,Alice,16,reject
9900.0,100.0,Alice,17,
,,Bob,17,reject
500.0,9500.0,Bob,18,
,,Alice,18,reject
9950.0,50.0,Alice,19,
,,Bob,19,reject
400.0,9600.0,Bob,20,
,,Alice,20,reject
9980.0,20.0,Alice,21,
,,Bob,21,reject
300.0,9700.0,Bob,22,
,,Alice,22,reject
9990.0,10.0,Alice,23,
,,Bob,23,reject
250.0,9750.0,Bob,24,
,,Alice,24,reject
9995.0,5.0,Alice,25,
,,Bob,25,reject
