alice_gain,bob_gain,message,player,round,decision
50.0,50.0,"Let's start fair, 50-50 split. What do you say, Bob?",Alice,1,
,,,Bob,1,reject
45.0,55.0,"I want a bit more, 55-45 is still quite fair.",Bob,2,
,,,Alice,2,reject
48.0,52.0,"Since we're losing value each round, let's compromise at 48-52. It's a bit more for you than my first offer but still fair considering the inflation.",Alice,3,
,,,Bob,3,reject
42.0,58.0,"Considering the inflation is affecting me less, I'll take a bit more. 58-42 is my new offer.",Bob,4,
,,,Alice,4,reject
45.0,55.0,"Bob, inflation is hitting me hard. Let's settle at 45-55. It's more in your favor but still keeps some value for me.",Alice,5,
,,,Bob,5,accept
